file_name,yolo_model_confidence,yolo_class_id,yolo_xy_coords
0-250-ls-r1-1-23nv_21660_22800,,,
0-330-ls-14-d01_22800_23940,0.3096282184123993,0.0,"[295.02587890625, 546.5438232421875, 306.5207214355469, 556.4406127929688]"
0-340-ls-14-d01_0_1140,,,
0-340-ls-14-d01_19380_20520,0.9312180876731873,7.0,"[488.7888488769531, 321.58831787109375, 866.4388427734375, 436.0461120605469]"
0-340-ls-14-d01_6840_7980,,,
0-340-ls-14-d01_9120_10260,,,
0-341-ls-14-d01_25080_26220,,,
0-341-ls-14-d01_4560_5700,,,
0-360-ls-r1-1-31he_18240_19380,0.30450594425201416,0.0,"[719.8162231445312, 684.6859741210938, 727.8163452148438, 691.67578125]"
0-590-ls-14-d01_11400_12540,,,
0-590-ls-14-d01_26220_27360,0.26603880524635315,0.0,"[643.6889038085938, 591.7838745117188, 649.7110595703125, 597.3709716796875]"
0-590-ls-14-d01_4560_5700,,,
0-600-ls-14-g02_10260_11400,0.2798937261104584,0.0,"[964.9722290039062, 536.8717041015625, 971.4705200195312, 542.1602172851562]"
0-620-ls-14-g02_11400_12540,,,
0-620-ls-14-g02_13680_14820,,,
0-620-ls-14-g02_15960_17100,,,
0-620-ls-14-g02_25080_26220,,,
0-620-ls-14-g02_30780_31920,,,
0-630-ls-14-g02_4560_5700,,,
0-630-ls-14-g02_5700_6840,,,
0-630-ls-14-g02_9120_10260,0.9379449486732483,6.0,"[235.13246154785156, 358.8240966796875, 487.0648193359375, 454.4681396484375]"
0-660-ls-14-d01_17100_18240,,,
0-660-ls-14-d01_18240_19380,0.97263103723526,6.0,"[278.41485595703125, 221.94268798828125, 531.41748046875, 309.265625]"
0-660-ls-14-d01_29640_30780,,,
0-660-ls-14-d01_9120_10260,0.9147794246673584,6.0,"[533.9971923828125, 254.85687255859375, 785.3733520507812, 350.7389221191406]"
0-670-ls-14-g02_19380_20520,,,
0-670-ls-14-g02_3420_4560,0.9416529536247253,7.0,"[249.6731414794922, 259.0628967285156, 629.357177734375, 376.65960693359375]"
0-760-ls-r3-31he_0_1140,,,
0-760-ls-r3-31he_1140_2280,,,
0-760-ls-r3-31he_23940_25080,0.26068115234375,0.0,"[586.0452270507812, 610.0243530273438, 594.0150756835938, 617.5599365234375]"
0-760-ls-r3-31he_29640_30780,,,
01-356_10260_11400,,,
01-356_23940_25080,,,
01-356_6840_7980,,,
01-357_1140_2280,,,
01-357_30780_31920,,,
01-358_17100_18240,,,
01-358_18240_19380,,,
01-359_27360_28500,,,
01-360_14820_15960,,,
01-360_17100_18240,,,
01-360_29640_30780,,,
01-361_0_1140,,,
01-361_19380_20520,,,
01-361_25080_26220,,,
01-361_6840_7980,,,
1-130-ls-14-d-01_10260_11400,0.3067525327205658,0.0,"[99.86124420166016, 564.7890014648438, 108.60568237304688, 571.6025390625]"
1-130-ls-14-d-01_27360_28500,0.298422634601593,0.0,"[197.0882110595703, 595.8162231445312, 206.41311645507812, 604.0927124023438]"
1-130-ls-14-d-01_5700_6840,0.2731722593307495,0.0,"[556.9476928710938, 517.2697143554688, 562.7484741210938, 522.834716796875]"
1-140-ls-14-d-01_0_1140,,,
1-140-ls-14-d-01_13680_14820,,,
1-140-ls-14-d-01_23940_25080,,,
1-150-ls-14-d-01_14820_15960,,,
1-150-ls-14-d-01_15960_17100,,,
1-150-ls-14-d-01_4560_5700,,,
1-150-ls-14-d-01_5700_6840,,,
1-150-ls-14-d-01_6840_7980,,,
1-150-ls-14-d-01_9120_10260,0.29755255579948425,0.0,"[1052.6849365234375, 521.1201782226562, 1058.3197021484375, 526.6104125976562]"
1-190-ls-14-d-01_26220_27360,0.9024959802627563,6.0,"[294.3750305175781, 430.0077209472656, 539.361328125, 512.3336791992188]"
1-190-ls-14-d-01_6840_7980,,,
1-270-ls-14-d-01_17100_18240,,,
1-300-ls-14-g03_2280_3420,,,
1-300-ls-14-g03_28500_29640,,,
