Original_Image,Review_Status,Saved_Path
lp_train_405.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_405.jpg
lp_train_3296.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_3296.jpg
lp_train_2843.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_2843.jpg
lp_train_3623.jpg,No,C:\Users\Installer\Downloads\No_lp_train_3623.jpg
lp_train_6681.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_6681.jpg
lp_train_5576.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_5576.jpg
lp_train_4959.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_4959.jpg
lp_train_4162.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_4162.jpg
lp_train_3168.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_3168.jpg
lp_train_639.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_639.jpg
lp_train_4810.jpg,No,C:\Users\Installer\Downloads\No_lp_train_4810.jpg
lp_train_4320.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_4320.jpg
lp_train_1493.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_1493.jpg
lp_train_4752.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_4752.jpg
lp_train_6717.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_6717.jpg
lp_train_1965.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_1965.jpg
lp_train_3166.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_3166.jpg
lp_train_3056.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_3056.jpg
lp_train_2477.jpg,No,C:\Users\Installer\Downloads\No_lp_train_2477.jpg
lp_train_4107.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_4107.jpg
lp_train_215.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_215.jpg
lp_train_1142.jpg,No,C:\Users\Installer\Downloads\No_lp_train_1142.jpg
lp_train_1050.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_1050.jpg
lp_train_2239.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_2239.jpg
lp_train_2310.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_2310.jpg
lp_train_1189.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_1189.jpg
lp_train_6449.jpg,Yes,C:\Users\Installer\Downloads\Yes_lp_train_6449.jpg
